base_image,group_emotion,individual_emotions
395881830_4a3ba3dac7_142_18558269@N00,sad,"['sad', 'sad', 'sad', 'sad']"
640136013_6d45d495c6_1429_9316316@N05,happy,"['sad', 'angry', 'neutral', 'happy', 'happy', 'happy', 'happy']"
2543426146_788b19c150_3139_56117563@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'fear', 'happy', 'happy']"
512111361_a361d5d188_189_71618298@N00,happy,"['happy', 'happy', 'sad', 'happy', 'happy']"
757443116_d4c1c4c10e_1183_22693520@N00,sad,"['sad', 'fear', 'happy', 'sad', 'happy', 'happy', 'happy', 'fear', 'sad', 'sad', 'neutral', 'sad']"
1608961046_8334a54c05_2012_32729164@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2173363752_c20fb492da_2183_14333987@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
1422432344_7b01de2ad1_1356_22427220@N00,happy,"['happy', 'neutral', 'fear', 'happy', 'happy']"
2557185012_155ef84e0f_2304_8452611@N05,sad,"['sad', 'happy', 'sad', 'happy']"
1592647626_115fa18167_2070_50007725@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy', 'happy', 'sad']"
493358391_6578e8d79d_195_34806931@N00,happy,"['sad', 'happy', 'neutral', 'happy', 'happy']"
2606094581_1bf4d33f6a_3056_18723167@N00,happy,"['happy', 'happy', 'neutral', 'neutral']"
2607670399_c7b3bfeae6_3049_28039108@N08,happy,"['sad', 'happy', 'neutral', 'happy', 'happy', 'happy']"
2345680043_57d2cc8a94_3227_7692803@N08,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2489105702_a976261e52_3178_83603910@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2484141571_f6f08a9c96_2179_25562715@N05,happy,"['sad', 'neutral', 'happy', 'happy', 'neutral', 'happy', 'surprise', 'sad', 'fear', 'sad', 'happy', 'neutral', 'fear', 'happy', 'happy', 'happy', 'neutral', 'neutral', 'angry', 'fear', 'happy', 'neutral', 'fear', 'fear', 'sad', 'sad', 'happy', 'fear', 'neutral', 'sad', 'sad']"
376656220_668935e4f6_137_60363628@N00,happy,"['angry', 'happy', 'happy', 'happy', 'happy']"
2430463226_6823561458_2260_99673801@N00,neutral,"['neutral', 'neutral', 'sad', 'happy']"
2082609007_d718614265_2352_21466804@N02,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'sad']"
481386834_4012dddeb2_203_27797449@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'angry']"
2332003791_f1fd0c9eaf_3278_7585885@N07,happy,"['happy', 'neutral', 'happy', 'happy']"
2478593301_7ac96f27ef_3269_73474605@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2124451044_8c4d44fe4d_2061_70879186@N00,happy,"['sad', 'happy', 'happy', 'happy']"
